Sample in Buffer,Sample in Window,TRIGGER,u0/spi_inst0/SCK,u0/spi_inst0/CSn,u0/spi_inst0/MOSI,u0/spi_inst0/MISO,u0/spi_inst0/spi_seq[1:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
143,143,0,0,0,1,0,"IDLE"
144,144,0,0,0,1,0,"IDLE"
145,145,0,0,0,1,0,"IDLE"
146,146,0,0,0,1,0,"IDLE"
147,147,0,0,0,1,0,"IDLE"
148,148,0,0,0,1,0,"IDLE"
149,149,0,0,0,1,0,"IDLE"
150,150,0,0,0,1,0,"IDLE"
151,151,0,0,0,1,0,"IDLE"
152,152,0,0,0,1,0,"IDLE"
153,153,0,0,0,1,0,"IDLE"
154,154,0,0,0,1,0,"IDLE"
155,155,0,0,0,1,0,"IDLE"
156,156,0,0,0,1,0,"IDLE"
157,157,0,0,0,1,0,"IDLE"
158,158,0,0,0,1,0,"IDLE"
159,159,0,0,0,1,0,"IDLE"
160,160,0,0,0,1,0,"IDLE"
161,161,0,0,0,1,0,"IDLE"
162,162,0,0,0,1,0,"IDLE"
163,163,0,0,0,1,0,"IDLE"
164,164,0,0,0,1,0,"IDLE"
165,165,0,0,0,1,0,"IDLE"
166,166,0,0,0,1,0,"IDLE"
167,167,0,0,0,1,0,"IDLE"
168,168,0,0,0,1,0,"IDLE"
169,169,0,0,0,1,0,"IDLE"
170,170,0,0,0,1,0,"IDLE"
171,171,0,0,0,1,0,"IDLE"
172,172,0,0,0,1,0,"IDLE"
173,173,0,0,0,1,0,"IDLE"
174,174,0,0,0,1,0,"IDLE"
175,175,0,0,0,1,0,"IDLE"
176,176,0,0,0,1,0,"IDLE"
177,177,0,0,0,1,0,"IDLE"
178,178,0,0,0,1,0,"IDLE"
179,179,0,0,0,1,0,"IDLE"
180,180,0,0,0,1,0,"IDLE"
181,181,0,0,0,1,0,"IDLE"
182,182,0,0,0,1,0,"IDLE"
183,183,0,0,0,1,0,"IDLE"
184,184,0,0,0,1,0,"IDLE"
185,185,0,0,0,1,0,"IDLE"
186,186,0,0,0,1,0,"IDLE"
187,187,0,0,0,1,0,"IDLE"
188,188,0,0,0,1,0,"IDLE"
189,189,0,0,0,1,0,"IDLE"
190,190,0,0,0,1,0,"IDLE"
191,191,0,0,0,1,0,"IDLE"
192,192,0,0,0,1,0,"IDLE"
193,193,0,0,0,1,0,"IDLE"
194,194,0,0,0,1,0,"IDLE"
195,195,0,0,0,1,0,"IDLE"
196,196,0,0,0,1,0,"IDLE"
197,197,0,0,0,1,0,"IDLE"
198,198,0,0,0,1,0,"IDLE"
199,199,0,0,0,1,0,"IDLE"
200,200,0,0,0,1,0,"IDLE"
201,201,0,0,0,1,0,"IDLE"
202,202,0,0,0,1,0,"IDLE"
203,203,0,0,0,1,0,"IDLE"
204,204,0,0,0,1,0,"IDLE"
205,205,0,0,0,1,0,"IDLE"
206,206,0,0,0,1,0,"IDLE"
207,207,0,0,0,1,0,"IDLE"
208,208,0,0,0,1,0,"IDLE"
209,209,0,0,0,1,0,"IDLE"
210,210,0,0,0,1,0,"IDLE"
211,211,0,0,0,1,0,"IDLE"
212,212,0,0,0,1,0,"IDLE"
213,213,0,0,0,1,0,"IDLE"
214,214,0,0,0,1,0,"IDLE"
215,215,0,0,0,1,0,"IDLE"
216,216,0,0,0,1,0,"IDLE"
217,217,0,0,0,1,0,"IDLE"
218,218,0,0,0,1,0,"IDLE"
219,219,0,0,0,1,0,"IDLE"
220,220,0,0,0,1,0,"IDLE"
221,221,0,0,0,1,0,"IDLE"
222,222,0,0,0,1,0,"IDLE"
223,223,0,0,0,1,0,"IDLE"
224,224,0,0,0,1,0,"IDLE"
225,225,0,0,0,1,0,"IDLE"
226,226,0,0,0,1,0,"IDLE"
227,227,0,0,0,1,0,"IDLE"
228,228,0,0,0,1,0,"IDLE"
229,229,0,0,0,1,0,"IDLE"
230,230,0,0,0,1,0,"IDLE"
231,231,0,0,0,1,0,"IDLE"
232,232,0,0,0,1,0,"IDLE"
233,233,0,0,0,1,0,"IDLE"
234,234,0,0,0,1,0,"IDLE"
235,235,0,0,0,1,0,"IDLE"
236,236,0,0,0,1,0,"IDLE"
237,237,0,0,0,1,0,"IDLE"
238,238,0,0,0,1,0,"IDLE"
239,239,0,0,0,1,0,"IDLE"
240,240,0,0,0,1,0,"IDLE"
241,241,0,0,0,1,0,"IDLE"
242,242,0,0,0,1,0,"IDLE"
243,243,0,0,0,1,0,"IDLE"
244,244,0,0,0,1,0,"IDLE"
245,245,0,0,0,1,0,"IDLE"
246,246,0,0,0,1,0,"IDLE"
247,247,0,0,0,1,0,"IDLE"
248,248,0,0,0,1,0,"IDLE"
249,249,0,0,0,1,0,"IDLE"
250,250,0,0,0,1,0,"IDLE"
251,251,0,0,0,1,0,"IDLE"
252,252,0,0,0,1,0,"IDLE"
253,253,0,0,0,1,0,"IDLE"
254,254,0,0,0,1,0,"IDLE"
255,255,0,0,0,1,0,"IDLE"
256,256,0,0,0,1,0,"IDLE"
257,257,0,0,0,1,0,"IDLE"
258,258,0,0,0,1,0,"IDLE"
259,259,0,0,0,1,0,"IDLE"
260,260,0,0,0,1,0,"IDLE"
261,261,0,0,0,1,0,"IDLE"
262,262,0,0,0,1,0,"IDLE"
263,263,0,0,0,1,0,"IDLE"
264,264,0,0,0,1,0,"IDLE"
265,265,0,0,0,1,0,"IDLE"
266,266,0,0,0,1,0,"IDLE"
267,267,0,0,0,1,0,"IDLE"
268,268,0,0,0,1,0,"IDLE"
269,269,0,0,0,1,0,"IDLE"
270,270,0,0,0,1,0,"IDLE"
271,271,0,0,0,1,0,"IDLE"
272,272,0,0,0,1,0,"IDLE"
273,273,0,0,0,1,0,"IDLE"
274,274,0,0,0,1,0,"IDLE"
275,275,0,0,0,1,0,"IDLE"
276,276,0,0,0,1,0,"IDLE"
277,277,0,0,0,1,0,"IDLE"
278,278,0,0,0,1,0,"IDLE"
279,279,0,0,0,1,0,"IDLE"
280,280,0,0,0,1,0,"IDLE"
281,281,0,0,0,1,0,"IDLE"
282,282,0,0,0,1,0,"IDLE"
283,283,0,0,0,1,0,"IDLE"
284,284,0,0,0,1,0,"IDLE"
285,285,0,0,0,1,0,"IDLE"
286,286,0,0,0,1,0,"IDLE"
287,287,0,0,0,1,0,"IDLE"
288,288,0,0,0,1,0,"IDLE"
289,289,0,0,0,1,0,"IDLE"
290,290,0,0,0,1,0,"IDLE"
291,291,0,0,0,1,0,"IDLE"
292,292,0,0,0,1,0,"IDLE"
293,293,0,0,0,1,0,"IDLE"
294,294,0,0,0,1,0,"IDLE"
295,295,0,0,0,1,0,"IDLE"
296,296,0,0,0,1,0,"IDLE"
297,297,0,0,0,1,0,"IDLE"
298,298,0,0,0,1,0,"IDLE"
299,299,0,0,0,1,0,"IDLE"
300,300,0,0,0,1,0,"IDLE"
301,301,0,0,0,1,0,"IDLE"
302,302,0,0,0,1,0,"IDLE"
303,303,0,0,0,1,0,"IDLE"
304,304,0,0,0,1,0,"IDLE"
305,305,0,0,0,1,0,"IDLE"
306,306,0,0,0,1,0,"IDLE"
307,307,0,0,0,1,0,"IDLE"
308,308,0,0,0,1,0,"IDLE"
309,309,0,0,0,1,0,"IDLE"
