Sample in Buffer,Sample in Window,TRIGGER,u0/wb_dbus_adr[31:0],u0/wb_dbus_cyc,u0/wb_dbus_dat[31:0],u0/wb_dbus_we,u0/wb_dbus_rdt[31:0],u0/o_probuf_0[31:0],u0/o_probuf_1[31:0],u0/o_probuf_2[31:0],u0/o_exe_req,u0/o_autoexec[2:0],u0/o_autoexec_wr,u0/wb_dbus_ack
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
63,63,0,80000000,0,00000001,0,00000000,88002483,0004a483,00100073,0,0,0,0
64,64,1,40000000,1,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
65,65,0,40000000,1,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,1
66,66,0,40000000,0,00000063,0,00000063,88002483,0004a483,00100073,0,0,0,0
67,67,0,40000000,0,00000031,0,00000063,88002483,0004a483,00100073,0,0,0,0
68,68,0,40000000,0,00000018,0,00000063,88002483,0004a483,00100073,0,0,0,0
69,69,0,40000000,0,0000000c,0,00000063,88002483,0004a483,00100073,0,0,0,0
70,70,0,40000000,0,00000006,0,00000063,88002483,0004a483,00100073,0,0,0,0
71,71,0,40000000,0,00000003,0,00000063,88002483,0004a483,00100073,0,0,0,0
72,72,0,40000000,0,00000001,0,00000063,88002483,0004a483,00100073,0,0,0,0
73,73,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
74,74,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
75,75,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
76,76,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
77,77,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
78,78,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
79,79,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
80,80,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
81,81,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
82,82,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
83,83,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
84,84,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
85,85,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
86,86,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
87,87,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
88,88,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
89,89,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
90,90,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
91,91,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
92,92,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
93,93,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
94,94,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
95,95,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
96,96,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
97,97,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
98,98,0,40000000,0,00000000,0,00000063,88002483,0004a483,00100073,0,0,0,0
99,99,0,40000000,0,00000000,0,00100073,88002483,0004a483,00100073,0,0,0,0
100,100,0,40000000,0,00000000,1,00100073,88002483,0004a483,00100073,0,0,0,0
101,101,0,40000000,0,0000003f,1,00000063,88002483,0004a483,00100073,0,0,0,0
102,102,0,40000000,0,0000003e,1,00000063,88002483,0004a483,00100073,0,0,0,0
103,103,0,40000000,0,0000003d,1,00000063,88002483,0004a483,00100073,0,0,0,0
104,104,0,40000000,0,0000003c,1,00000063,88002483,0004a483,00100073,0,0,0,0
105,105,0,40000000,0,0000003b,1,00000063,88002483,0004a483,00100073,0,0,0,0
106,106,0,40000000,0,0000003a,1,00000063,88002483,0004a483,00100073,0,0,0,0
107,107,0,40000000,0,00000039,1,00000063,88002483,0004a483,00100073,0,0,0,0
108,108,0,40000000,0,00000038,1,00000063,88002483,0004a483,00100073,0,0,0,0
